"siteid","sitename","lat","lon","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age"
302,"Boundary Pond",45.56667,-70.675,2094,119,FALSE,TRUE,FALSE,FALSE,NA,3.48,59
303,"Brandreth Bog",43.91667,-74.68333,67,9997,TRUE,FALSE,FALSE,TRUE,NA,8.21,33
305,"Brophy Ditch",43.22,-81.73,2813,2813,TRUE,FALSE,TRUE,FALSE,NA,4.8,-6
309,"Browns Pond",38.15472,-79.61639,1304,8744,TRUE,FALSE,TRUE,FALSE,NA,3.4,-39
312,"Buck Lake",27.23444,-81.33222,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.06,8358
317,"Burden Lake",42.600272,-73.563624,NA,8694,TRUE,FALSE,FALSE,FALSE,NA,0.61,8694
319,"Lac à la Busque",46.27917,-70.59583,167,12022,TRUE,FALSE,FALSE,FALSE,NA,0.01,12022
321,"Cahaba Pond",33.5,-86.53333,NA,13122,TRUE,FALSE,FALSE,FALSE,NA,3.06,13122
322,"Saint-Calixte",45.96111,-73.86806,NA,10424,TRUE,FALSE,FALSE,FALSE,NA,0.29,10350
324,"Camel Lake",30.26667,-85.01667,493,11469,TRUE,FALSE,TRUE,FALSE,NA,3.85,11469
325,"Camp 11 Lake",46.66667,-88.01667,7,7,FALSE,TRUE,FALSE,TRUE,7,7.16,7
330,"Tourbière Caribou",47.63972,-71.23583,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,7240
333,"Caribou Bog",44.93672,-68.77344,62,6398,TRUE,FALSE,FALSE,FALSE,NA,2.35,62
338,"Lac Castor",46.61389,-72.99861,1750,10675,TRUE,FALSE,FALSE,FALSE,NA,0.03,10675
344,"Cedar Bog",45.41111,-93.19722,NA,7902,TRUE,FALSE,FALSE,FALSE,NA,25.47,-10
360,"Chippewa Bog",43.12389,-83.24111,NA,9362,TRUE,FALSE,FALSE,FALSE,NA,0.94,9362
364,"Chatsworth Bog",40.67552,-88.325062,NA,9180,TRUE,FALSE,FALSE,FALSE,NA,17.68,7070
478,"Clear Lake",43.121856,-93.439296,98,9557,TRUE,FALSE,FALSE,TRUE,NA,39.29,32
