"datasetid","sitename","lat","lon","n_samples","n_baseline","signal_onset_age","persistent","baseline_bc_mean","baseline_bc_sd","threshold","signal_onset_bc","n_exceed_after_onset","pct_exceed_after"
49434,"Großer Eutiner See",54.14263,10.63284,150,10,1596,TRUE,0.2217,0.121,0.4637,0.4977,48,100
49457,"Großer Plöner See",54.15722,10.42333,259,16,2048,TRUE,0.211,0.0964,0.4039,0.4064,163,88.1
45698,"Haugtjernet",NA,NA,71,17,1644,TRUE,0.1192,0.0629,0.245,0.247,14,100
55439,"Hino",57.58306,27.23861,72,14,6958,TRUE,0.2327,0.089,0.4106,0.4116,40,69
4092,"Hirvilampi",60.62404,24.25122,96,43,6727,TRUE,0.0982,0.0508,0.1997,0.2126,27,52.9
45716,"Holebudalen",NA,NA,84,32,6922,TRUE,0.1608,0.034,0.2288,0.2886,48,92.3
21790,"Holtjärnen",NA,NA,93,24,4326,TRUE,0.0765,0.0456,0.1676,0.1904,29,65.9
4106,"Ilmen Lake",58.2769,31.28552,25,9,4279,FALSE,0.2183,0.0919,0.4022,0.4085,2,15.4
4107,"Imatu Mire",59.10972,27.50783,41,11,6916,TRUE,0.11,0.0624,0.2347,0.2429,30,100
45731,"Isbenttjønn",NA,NA,56,9,6949,TRUE,0.1018,0.0169,0.1356,0.1619,34,72.3
22857,"Jezioro Druzno",NA,NA,94,29,3845,FALSE,0.3925,0.0888,0.5701,0.6215,2,4.7
22950,"Jezioro Druzno",NA,NA,53,15,173,TRUE,0.2869,0.0905,0.4679,0.5121,2,100
4133,"Kaarkotinlampi",61.41513,25.86881,31,16,1236,TRUE,0.0957,0.0592,0.2142,0.2473,3,100
1434,"Kalsa Mire",58.19142,27.41146,61,4,5398,FALSE,0.2063,0.0843,0.3748,0.4115,21,38.9
4136,"Kangerjoki",66.12667,28.99524,28,13,5049,TRUE,0.2549,0.0441,0.343,0.3777,10,83.3
48738,"Kanna fen",58.32503,22.09672,42,11,NA,FALSE,0.2348,0.1324,0.4996,NA,0,0
1438,"Kansjön",57.64055,14.53458,28,10,5286,FALSE,0.1437,0.0454,0.2346,0.2528,6,40
45701,"Kinnshaugen",NA,NA,53,14,5251,TRUE,0.1451,0.0676,0.2803,0.2828,20,66.7
1522,"Kirikumae",57.68291,27.25128,53,20,NA,FALSE,0.1696,0.0776,0.3248,NA,0,0
19909,"Klotjärnen",61.82125,16.40472,110,25,1049,FALSE,0.1538,0.0853,0.3245,0.3289,3,27.3
4154,"Kluki",54.70694,17.28472,75,18,6741,TRUE,0.2015,0.0591,0.3198,0.5676,54,96.4
58000,"Kokorevskoe",57.1984,30.60556,139,42,6050,FALSE,0.2568,0.1201,0.497,0.5523,5,5.5
49472,"Kollsee",54.5025,9.7433,94,10,4408,FALSE,0.283,0.151,0.5851,0.7033,17,34.7
59895,"Kosilovo",56.72073,31.55124,66,23,5937,TRUE,0.2342,0.0938,0.4219,0.4592,28,73.7
4162,"Krageholmssjön",55.50078,13.74492,106,13,6574,TRUE,0.1019,0.0542,0.2104,0.3153,62,69.7
23013,"Krageholmssjön",55.50078,13.74492,86,15,6253,TRUE,0.1679,0.0741,0.316,0.3179,57,83.8
4168,"Kuivajarvi",60.78455,23.85616,112,28,5158,FALSE,0.0995,0.0458,0.191,0.2081,23,34.3
54692,"Kunda Arusoo",59.46667,26.52194,59,31,6176,FALSE,0.3737,0.1,0.5737,0.6965,9,40.9
52082,"Laihalampi",61.48833,26.08083,137,54,6384.629,TRUE,0.0936,0.0464,0.1865,0.1957,53,70.7
46516,"Lake Babinskoye",59.61457,28.61129,48,6,6557,TRUE,0.1128,0.0364,0.1855,0.2369,36,90
52214,"Lake Badsjön",68.34472,18.79667,43,12,6642.6,FALSE,0.1667,0.0925,0.3517,0.4652,13,41.9
4031,"Lake Ermistu",58.36667,23.96667,60,21,6434,TRUE,0.0847,0.0383,0.1613,0.2183,36,100
4042,"Lake Flarken",58.55679,13.67319,101,41,3108,TRUE,0.1089,0.0459,0.2006,0.2019,15,88.2
20018,"Lake Flåfattjønna",NA,NA,76,34,444,TRUE,0.1371,0.056,0.2491,0.3226,3,75
22636,"Lake Hancza",54.26667,22.81667,86,42,4999,FALSE,0.2006,0.0835,0.3676,0.3791,2,11.1
20029,"Lake Hopseidet",70.83333,27.71667,49,15,4991,FALSE,0.1324,0.057,0.2464,0.2831,3,13
20020,"Lake Ifjord",70.43333,27.63333,54,20,6768,TRUE,0.1436,0.0357,0.2149,0.2162,26,78.8
45410,"Lake Jarveotsa",59.03333,24.28333,29,9,5898,TRUE,0.1264,0.0374,0.2012,0.2436,17,94.4
45383,"Lake Kahala",59.48944,25.53861,50,20,NA,FALSE,0.1687,0.092,0.3528,NA,0,0
4139,"Lake Karujarv",58.38333,22.2,74,10,4691,TRUE,0.1052,0.0349,0.1749,0.2354,50,96.2
45407,"Lake Konsu",59.22139,27.58056,47,21,2145,FALSE,0.245,0.0909,0.4267,0.4297,2,25
49642,"Lake Kuzi",NA,NA,78,22,2084,FALSE,0.2368,0.081,0.3988,0.4029,1,4.8
4241,"Lake Maardu",59.43333,25,56,20,2571,TRUE,0.1232,0.0761,0.2755,0.3155,6,85.7
45381,"Lake Maardu",59.43333,25,90,27,3039,TRUE,0.1385,0.0727,0.2839,0.3122,28,100
45408,"Lake Martiska",59.15861,27.6975,43,10,859,FALSE,0.1679,0.0642,0.2964,0.3321,4,50
45398,"Lake Plaani Külajärv",57.675,27.075,83,34,4962,TRUE,0.1348,0.0566,0.2481,0.2612,30,81.1
45379,"Lake Ruila",59.175,24.43111,37,10,6514,FALSE,0.1384,0.0582,0.2549,0.2872,11,42.3
41764,"Lake Skaidejavri",NA,NA,95,22,NA,FALSE,0.1888,0.0818,0.3523,NA,0,0
52255,"Lake Skogstjern",59.00694,9.63833,229,53,6523.5,FALSE,0.1805,0.0912,0.3629,0.3643,9,5.9
4445,"Lake Solsø",NA,NA,61,20,4657,TRUE,0.1972,0.0802,0.3576,0.3661,38,100
4446,"Lake Solsø",NA,NA,26,3,6687,TRUE,0.0969,0.0161,0.1292,0.1334,22,100
53969,"Lake Stentjärn",63.1,12.24194,25,10,NA,FALSE,0.1144,0.0445,0.2034,NA,0,0
53970,"Lake Stentjärn",63.1,12.24194,25,10,NA,FALSE,0.1144,0.0445,0.2034,NA,0,0
53098,"Lake Store Finnsjøen",62.4,9.68333,27,9,NA,FALSE,0.1472,0.0487,0.2446,NA,0,0
53972,"Lake Svartkälstjärn",64.26667,19.55,46,16,6040.3,TRUE,0.151,0.0444,0.2399,0.2441,15,55.6
4403,"Lake Sämbosjön",57.16313,12.41426,99,31,3041,TRUE,0.125,0.0775,0.2799,0.2814,37,88.1
53980,"Lake Tibenatus",68.33583,18.69306,42,9,6280,TRUE,0.1214,0.0415,0.2045,0.5141,28,96.6
53002,"Lake Topptjønna",62.38333,9.66667,23,20,NA,FALSE,0.1352,0.1049,0.345,NA,0,0
4496,"Lake Trummen",56.863,14.82952,71,29,5690,TRUE,0.1185,0.0478,0.2142,0.2298,32,100
24155,"Lake Tsuolbmajavri",68.68811,22.05346,146,37,6536,FALSE,0.1818,0.0805,0.3428,0.3777,12,11.4
46453,"Lake Uzlovoye",61.09306,29.74528,95,10,6545,FALSE,0.1147,0.0471,0.2088,0.2137,39,48.1
45391,"Lake Verijärv",57.80833,27.05833,165,14,6778,FALSE,0.1611,0.0571,0.2753,0.3044,48,31.8
53978,"Lake Vuolep Njakajaure",68.34167,18.78056,42,10,6650,TRUE,0.0936,0.0635,0.2206,0.4091,18,58.1
4183,"Landshaftnoe",64.56667,30.53333,27,3,6412,TRUE,0.1162,0.0324,0.181,0.323,23,100
4194,"Leikishke Bog",54.53333,23.53333,35,14,5843,FALSE,0.237,0.0786,0.3942,0.4358,1,5.6
4195,"Leikishke Bog",54.53333,23.53333,42,19,4850,FALSE,0.2996,0.1077,0.5151,0.5887,2,12.5
46469,"Lembolovskoye lake",60.3575,30.31333,40,11,6637,TRUE,0.1509,0.0788,0.3085,0.3101,16,59.3
53119,"Lervahå bog",62.795,11.88667,25,7,5270,TRUE,0.1667,0.064,0.2948,0.3107,5,62.5
4203,"Liivjarve Bog",59.30546,27.57509,61,14,5688,FALSE,0.2284,0.1116,0.4516,0.5552,13,31.7
4200,"Lilla Gloppsjön",59.80167,14.62333,78,17,6423,TRUE,0.1186,0.0489,0.2163,0.2414,41,70.7
45713,"Lille Kjelavatn",NA,NA,87,25,6837,TRUE,0.1182,0.0206,0.1594,0.1674,48,78.7
55917,"Lina myr",57.57549,18.63309,28,6,5391,FALSE,0.1868,0.0451,0.277,0.3076,6,42.9
45707,"Lisletjønn",NA,NA,42,10,6721,TRUE,0.0815,0.0285,0.1385,0.1387,19,61.3
20279,"Liten Cap’pesjav’ri",NA,NA,53,17,4483,FALSE,0.1864,0.0631,0.3126,0.3368,5,21.7
45636,"Litlvatnet",NA,NA,43,12,5385,FALSE,0.1379,0.0493,0.2365,0.2543,5,20.8
53966,"Ljustjärnen",59.76,14.48222,99,25,6159,TRUE,0.1339,0.0461,0.226,0.2535,34,53.1
4239,"Maanselänsuo",65.61709,29.61124,24,10,NA,FALSE,0.255,0.1206,0.4962,NA,0,0
24110,"Mabo Moss",58.02114,16.05602,100,20,5252,FALSE,0.2385,0.1047,0.448,0.5134,3,5.2
4248,"Maloe",54.18333,28.2,20,7,NA,FALSE,0.2224,0.1393,0.501,NA,0,0
4257,"Masehjavri",69.04527,20.97475,29,10,5432,FALSE,0.1318,0.0726,0.277,0.3205,3,18.8
4259,"Mayralampi",62.34206,26.23393,89,21,6420,TRUE,0.0502,0.0394,0.1291,0.218,63,100
4263,"Mezhgornoe",66.36667,30.7,25,7,3050,TRUE,0.2716,0.0773,0.4261,0.4544,5,62.5
4497,"Mire Johvika",58.4848,22.38803,25,4,4093,TRUE,0.1992,0.1076,0.4143,0.4582,16,100
4531,"Mire Pelisoo",58.46667,22.38333,54,14,6519,TRUE,0.1408,0.0645,0.2697,0.2854,34,87.2
4346,"Mire Petrolivo",56,31.98333,37,12,5947,FALSE,0.2926,0.0817,0.4559,0.5593,6,27.3
45404,"Mire Saviku",58.4,27.23333,62,11,6976,TRUE,0.1172,0.0316,0.1804,0.2493,51,100
45329,"Morttjern",59.05972,11.61778,57,21,6783,TRUE,0.1532,0.0323,0.2178,0.2179,23,65.7
46490,"Mshinskoye raised bog",59.01111,29.97722,56,15,6810,FALSE,0.2633,0.0788,0.421,0.4655,5,12.2
4286,"Mukkavaara",68.91667,21,50,10,6751,FALSE,0.1135,0.062,0.2375,0.2479,1,2.5
45377,"Mustjärve bog",59.075,24.1,124,30,6900,FALSE,0.2347,0.1039,0.4425,0.4634,41,43.6
44941,"Myrvatnet",NA,NA,57,18,244,TRUE,0.1597,0.0625,0.2847,0.3036,2,100
45351,"Måsåtjørnet",61.5625,10.26778,41,10,3001,TRUE,0.1054,0.05,0.2055,0.2772,7,63.6
4308,"Nigula",58.00009,24.68735,60,8,NA,FALSE,0.2415,0.1278,0.4972,NA,0,0
46477,"Nikolsko-Lutinskoye bog",NA,NA,59,11,1286,FALSE,0.2507,0.0722,0.3951,0.3967,8,34.8
46457,"Nizhneosinovskoye peat bog",60.68702,29.14831,50,30,1262,TRUE,0.2557,0.0981,0.4519,0.5377,8,57.1
49388,"Oldenburg-Priesterwiese",54.29385,10.88231,124,35,5790,TRUE,0.287,0.0878,0.4626,0.476,50,64.1
4325,"Osvea",56.05,28.08333,42,14,6868,TRUE,0.1207,0.0882,0.2971,0.3517,28,100
