"sitename","datasetid","taxon","base_prop","post_prop","abs_diff","bc_contribution","direction","category","group"
"Ballynahatty bog",45223,"Lonicera",0,0.00130733457373877,0.00130733457373877,0.000653667286869385,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Asteroideae",0.00017184928681126,0.00122100122100122,0.00104915193418996,0.000524575967094981,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Calluna",0.000146374806649093,0.00117662839731403,0.00103025359066494,0.00051512679533247,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Hedera",0,0.000783754415875575,0.000783754415875575,0.000391877207937787,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Pteridium",0,0.000773594636410521,0.000773594636410521,0.00038679731820526,"increase","pastoral","A_anthropogenic"
"Ballynahatty bog",45223,"Rosaceae undiff.",0,0.00076460979742782,0.00076460979742782,0.00038230489871391,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Cichorioideae",0,0.000739500377269032,0.000739500377269032,0.000369750188634516,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Poaceae (Cerealia-type)",0,0.00053885634409979,0.00053885634409979,0.000269428172049895,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Succisa",0,0.000535547397701413,0.000535547397701413,0.000267773698850706,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Fabaceae",0,0.000506744918624313,0.000506744918624313,0.000253372459312157,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Unknown (trilete, psilate)",0,0.000493602738303743,0.000493602738303743,0.000246801369151871,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Potentilla",0,0.000484617899321042,0.000484617899321042,0.000242308949660521,"increase","pastoral","A_anthropogenic"
"Ballynahatty bog",45223,"Caryophyllaceae",7.93147208121827e-05,0.000484617899321042,0.000405303178508859,0.00020265158925443,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Lamiaceae",0,0.000393531681136976,0.000393531681136976,0.000196765840568488,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Nymphaea",0.000125037635090166,0.000407000407000407,0.000281962771910241,0.000140981385955121,"increase","wetland","A_anthropogenic"
"Ballynahatty bog",45223,"Dipsacoideae",0,0.000268024658268561,0.000268024658268561,0.00013401232913428,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Apiaceae",0,0.000268024658268561,0.000268024658268561,0.00013401232913428,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Filipendula",0,0.000268024658268561,0.000268024658268561,0.00013401232913428,"increase","wetland","A_anthropogenic"
"Ballynahatty bog",45223,"Osmunda regalis",0,0.000268024658268561,0.000268024658268561,0.00013401232913428,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Rumex acetosa",0,0.000268024658268561,0.000268024658268561,0.00013401232913428,"increase","pastoral","A_anthropogenic"
"Ballynahatty bog",45223,"Achillea-type",0,0.000267522739432852,0.000267522739432852,0.000133761369716426,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Hypericum",0,0.000267522739432852,0.000267522739432852,0.000133761369716426,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Amaranthaceae",0,0.000257864878803507,0.000257864878803507,0.000128932439401753,"increase","other","A_anthropogenic"
