"datasetid","sitename","lat","lon","lag","region","total_bc"
4007,"Czajkow",NA,NA,-6750,"Central Europe",0.404939333603797
4008,"Czajkow",NA,NA,-981,"Central Europe",0.37401154889582
4009,"Czajkow",NA,NA,-2325,"Central Europe",0.348779920652504
4025,"Dvůr Anšov",NA,NA,-2926,"Central Europe",0.458693376297899
4028,"Embouchac",43.56639,3.91667,-1937,"Central Europe",0.318915852212501
4029,"Ennerie",47.24028,-2,-608,"Central Europe",0.159006516246013
4043,"Fletnowo",53.53813,18.64588,-2664,"Central Europe",0.299679428751669
4045,"Flögeln",NA,NA,-2103,"Central Europe",0.644836285118676
4056,"Le Fourneau",48.44444,-0.19167,-3228,"Central Europe",0.416525656892846
4058,"Fuchsschwanzmoos",47.11667,13.9,-1061,"Central Europe",0.39784686575506
4059,"Giecz",52.32201,17.3655,-1994,"Central Europe",0.255432561502475
4064,"Bois des Gardes",45.41667,2.7,-1223,"Central Europe",0.532826805701289
4095,"Hockham Mere",52.5,0.83333,-2356,"Central Europe",0.339740327784936
4095,"Hockham Mere",52.5,0.83333,-2356,"Central Europe",0.333041220035407
4118,"Liptovský Ján",49.04167,19.67778,-1403,"Central Europe",0.411385177645617
4120,"Jasiel",49.3705,21.8875,-1727,"Central Europe",0.556242651707118
4123,"Červené blato",NA,NA,-5153,"Central Europe",0.491749995435389
4129,"Barbora",NA,NA,-892,"Central Europe",0.504650729699322
4154,"Kluki",54.70694,17.28472,-5261,"Central Europe",0.5676
4154,"Kluki",54.70694,17.28472,-5261,"Central Europe",0.400687309948118
4186,"Col des Lauzes",44.76722,6.53694,-2564,"Central Europe",0.156632230480709
4192,"Lake Lednica",52.54901,17.38084,-5551,"Central Europe",0.313331318214235
4193,"Lake Lednica",52.54901,17.38084,-3762,"Central Europe",0.382119631825806
4194,"Leikishke Bog",54.53333,23.53333,-6862,"Central Europe",0.4358
4194,"Leikishke Bog",54.53333,23.53333,-6862,"Central Europe",0.169121785049178
4211,"Lac Long Inférieur",44.05778,7.45,-3240,"Central Europe",0.265420775065166
4213,"Lobsigensee",47.03056,7.29806,-5494,"Central Europe",0.607259666719731
4215,"Locmariaquer",47.55444,-2.93222,-891,"Central Europe",0.452832934514561
24086,"Švarcenberk",NA,NA,-677,"Central Europe",0.739502063782318
24089,"Komořanské jezero",NA,NA,-1341,"Central Europe",0.570056989421089
25279,"Clapeyret",44.15028,7.24333,-5114,"Central Europe",0.235602873253035
25285,"Hières sur Amby",45.79083,5.28333,-766,"Central Europe",0.502501295844437
40627,"Aegelsee",46.64583,7.54333,-1702,"Central Europe",0.467788896583515
42719,"Le Grand Etang de Suze-La-Rousse",44.32389,4.83361,-1280,"Central Europe",0.336032785218483
52645,"Lobsigensee",47.03056,7.29806,-2339,"Central Europe",0.516016855795739
52648,"Lobsigensee",47.03056,7.29806,-2286,"Central Europe",0.574161603975404
68809,"Lobsigensee",47.03056,7.29806,-1902.25,"Central Europe",0.545629065546421
