"sitename","datasetid","climate_tree","other","pastoral_arable","succession_tree","wetland","total_bc","pastoral_arable_pct","climate_tree_pct","succession_tree_pct","wetland_pct","other_pct","classification","signal_onset_age","lat","lon"
"Loch Tarff",4478,0.190581866041745,0.165350179433649,0.0230604633694715,0.0713207469019393,0.032645878266489,0.482959134013294,4.77482704961881,39.461282046381,14.7674496409827,6.75955292432474,34.2368883386928,"H1_anthropogenic",3931,NA,NA
"Lough Moynagh",16217,0.127435483356519,0.0178445908514731,0.00209108041341693,0.136369765030599,0.0017382246013104,0.285479144253318,0.732480972957318,44.6391569828443,47.7687311930541,0.608879715489127,6.25075113565522,"H1_anthropogenic",6742,NA,NA
"Pannel Bridge",41421,0.0589479681218742,0.123669547827902,0.00673976017176642,0.248869613082808,0.0650505570605717,0.503277446264922,1.33917389340325,11.7128173653234,49.449784592931,12.9253868901428,24.5728372581995,"H3_natural",6805,50.90583,0.67528
"Rannoch Forest",49126,0.121917415276684,0.114478401764898,0.00381281092299414,0.04274173699969,0.0733587508120604,0.356309115776326,1.07008514634457,34.2167544636208,11.9956900082571,20.5885136147096,32.1289567670679,"H1_anthropogenic",5695,56.69269,-4.46775
"Round Loch of Glenhead",41241,0.111099722111858,0.0640260280837079,0.0415800103509141,0.00978321381253185,0.0685149909179077,0.29500396527692,14.0947293070732,37.6604165328995,3.31629908884389,23.2251084671329,21.7034466040505,"H1_anthropogenic",5432,55.09344,-4.43026
"Sluggan Moss",4436,0.132258577550904,0.0359117360850763,0.00630586385397792,0.0931068275683856,0.135742483096275,0.403325488154619,1.56346772995425,32.7920206967434,23.0847864325133,33.655815732686,8.90390940810297,"H3_natural",6273,54.77694,-6.25833
"Stonetor Brook",41310,0.00426072727490683,0.157542783952236,0.0140428540307703,0.0139550844775185,0.0651757167686463,0.254977166504077,5.50749473896349,1.67102306976131,5.4730722240163,25.5613934621099,61.787016505149,"H1_anthropogenic",6366,50.65556,-3.91
"Teanga",22640,0.149108656398092,0.12564866891066,0.0404290918963427,0.0116435616893636,0.0641313765711116,0.39096135546557,10.340943249544,38.1389757104071,2.97818736470719,16.4035078338476,32.1383858414941,"H3_natural",6132,57.31917,-7.28472
"The Mere Stow Bedon",41345,0.00892773744503299,0.224768754642856,0.00088204849162179,0.0184827760086629,0.000617041841052392,0.253678358429226,0.347703484476731,3.51931378786644,7.28590965469349,0.243237872112193,88.6038352008512,"H3_natural",6941,52.52944,0.87389
"The Noads Bog",52121,0.015048769057693,0.223087329990752,0.000665811675061246,0.00557018330337748,0.00895985301581,0.253331947042694,0.262821836264116,5.94033608211159,2.19876859922398,3.53680343928355,88.0612700431168,"H3_natural",6928.2,50.85389,-1.43583
"Thorpe Bulmer",4484,0.0693856468008526,0.165191246543677,0.017072930789005,0.0101687536421961,0.0458956527781257,0.307714230553856,5.54830719342271,22.5487286291456,3.30460948260121,14.9150244678376,53.6833302269929,"H3_natural",6595,54.71194,-1.2988
